"Common_Name","Location_Name","Distance"
"American Robin","Rusty Blackbird 44.798099 -122.724814",106.9
"American Robin","45.33815 -122.66930 Oregon Golf Club",56
"American Robin","42.55579, -122.73302",162
"American Robin","44.63031 -123.15168 Bowers Rock",116
"American Robin","Dawson and Park Roads",120
"American Robin","Le Brun Rd NE 45.140018 -122.927858",68.4
"American Robin","43.16529, -120.91350",297
"American Robin","44.80044 -122.73395 Rusty Blackbird",218
"American Robin","BP08",233.1
"American Robin","43.82240, -123.3255",19
"American Robin","Bellfountain 361x361",65
"American Robin","43.97569, -122.75198",70
"American Robin","42.55579, -122.73302",179
"American Robin","44.411764 -118.952858",40
"American Robin","43.48651, -123.29404",275
"American Robin","Maxfield Creek Rd. 4.0",31
"American Robin","209 Picardy Ln. ",90
"American Robin","43.93323 -119.29112",175
"American Robin","Richardson 9052x3946",95
"American Robin","44.260048  -119.867578",130
"American Robin","45.12592 -123.02902 SE Grand Island Loop",246
"American Robin","45.43373, -118.25861",87
"American Robin","42.66269, -122.93819",120
"American Robin","Hultman 8009x1458",90
"American Robin","Whiskey Butte Dr. 3.5 44.38311 -122.58972 ",180
"American Robin","Wild Turkey 45.315650 -123.305679",58
"American Robin","Price Creek Road 1.5",5
"American Robin","45.74092 -122.77372 Racetrack Lake",71
"American Robin","44.89345 -119.45630",200
"American Robin","43.75288 -120.81960",150
"American Robin","Orchard Heights 9610x1080",50
"American Robin","Bethel Hts Rd 0324x1641",66
"American Robin","West Perrydale 0406x3508",125
"American Robin","Harley Rd 45.48990 -117.43820",68
"American Robin","Golden Valley 44.54254 -122.82524",52
"American Robin","44.30442, -121.21914",138
"American Robin","Sawtell Mennonite Cemetery",63
"American Robin","Godias Creek OUT 45.46950 -116.79315",127
"American Robin","43.37283  -124.08689",170
"American Robin","E10",90
"American Robin","Bellfountain Rd. 1",40
"American Robin","11p",100
"American Robin","Old River Rd. 320x252",300
"American Robin","Marys River Rd. 3",12
"American Robin","SE Walnut Hill Rd 45.123661 -123.120242",49.3
"American Robin","4-H Rd 0083x1296",19
"American Robin","44.19184 -118.53869",50
"American Robin","Camp Creek Rd Wallowa 45.56242  -116.89510",92
"American Robin","West Hills 556x329",125
"American Robin","Western Gull 44.878264 -123.005827",137
"American Robin","Oak Grove Rd 0723x1862",20
"American Robin","43.74837 -122.97183 Dorena Lake",NA
"American Robin","Woods Creek Rd. 2.0",65
"American Robin","44.617618 -118.754803",90
"American Robin","Van Horn S Spur 308x683",150
"American Robin","Old River Rd. 9.0",150
"American Robin","43.040322  -124.158460",43
"American Robin","45.42004, -123.88287",64
"American Robin","45.36779 -122.89573 SW Edy Rd",23
"American Robin","44.31567, -121.32469",95
"American Robin","Hill Rd Lane 44.102466 -122.950763",120
"American Robin","Tranquility Ln 45.37655 -122.45232",90
"American Robin","45.30910, -121.73630",40
"American Robin","Independence Hwy 1",40
"American Robin","Parasitic Jaeger 44.73897 -120.35650",134.4
"American Robin","Hwy 20 2.6",190
"American Robin","42.62970  -121.07998",50
"American Robin","Woods Creek Rd. 0.5 stream noise",75
"American Robin","Morrow 9180x1972",300
"American Robin","Zumwalt 8034x2964",40
"American Robin","44.05278 -119.07049",120
"American Robin","43.61720, -122.44794",30
"American Robin","42.73993  -121.83130",200
"American Robin","45.35983 -122.77925 SW Norwood Rd",50.2
"American Robin","45.33411, -118.72030",34
"American Robin","42.50467, -122.39948",59
"American Robin","Edison Rd NE 44.976507 -122.779071",36.5
"American Robin","44.869525 -119.081417",70
"American Robin","42.04256  -121.40358",165
"American Robin","42.88136  -118.88502",63
"American Robin","44.669464 -119.135941",30
"American Robin","43.47639  -124.05707",40
"American Robin","18y",80
"American Robin","18w",3
"American Robin","Old Peak Rd. 4.0",92
"American Robin","Hwy 34 506x435",170
"American Robin","4p",52
"American Robin","44.669464 -119.135941",130
"American Robin","43.15786, -119.80901",70
"American Robin","Bethel Hts Rd 0378x1721",100
"American Robin","Dart Creek Road 45.89428 -122.87846",45.8
"American Robin","44.86627 -122.77291 Silver Falls Hwy SE",265.1
"American Robin","Highland 8136x2046",140
"American Robin","Military Rd. ",150
"American Robin","Mc Donald Forest Rd. 500 662x243",34
"American Robin","Tubacco Lane pet parrots",40
"American Robin","44.495459 -119.030258",60
"American Robin","Mc Donald Forest Rd. 6021 621x346",30
"American Robin","Smithfield 9835x2757",13
"American Robin","44.76147, -120.81525",35
"American Robin","45.31741 -122.89861 Parrett Mountain Airport",36
"American Robin","Rickard Rd. 1.0",6
"American Robin","45.52036, -123.82704",89
"American Robin","42.16256, -122.79031",58
"American Robin","4l",40
"American Robin","Warbling Vireo 44.70885 -119.95026",59
"American Robin","44.86805 -122.75472 Silver Falls Hwy SE",343
"American Robin","Tum Tum Rd. 0.5",35
"American Robin","BP38",90.3
"American Robin","44.35968, -121.18864",75
"American Robin","44.24041  -120.21803",70
"American Robin","8u",NA
"American Robin","Dry Creek Tributary 45.63299 -117.55922",132
"American Robin","Shumway Rd 43.74256 -118.07829",50
"American Robin","Halls Ferry 8870x1513",25
"American Robin","21k",60
"American Robin","45.61610, -121.55633",61
"American Robin","44.781456, -122.054352",62
"American Robin","Shady Oak 319x308",80
"American Robin","45.43185 -122.63138 Emperor Goose",27
"American Robin","55th 9459x1421",40
"American Robin","West of Dry Hollow Rd 44.85765 -120.15069",40.2
"American Robin","CR28",135
"American Robin","South Fork Rd. 302x413",38
"American Robin","Three Lakes Rd SE 44.59265 -123.05904",61
"American Robin","Kiger Island Dr. 1.0",45
"American Robin","Random 44.68144 -122.18690",150
"American Robin","43.708883, -122.977286",120
"American Robin","Hulbert Lake Rd. 0.5",22
"American Robin","MIXD001",60
"American Robin","Robb Mill 9370x3865",40
"American Robin","Ervin Rd. just past 24243",25
"American Robin","45.15107, -118.66912",1
"American Robin","43.94771 -122.79801 Place Rd",93
"American Robin","Marys River Rd. 5.4",60
"American Robin","H08",18
"American Robin","Old River Road 359x262",290
"American Robin","42.965746, -117.085217",32
"American Robin","44.33997  -120.07661",35
"American Robin","Le Blue Rd 43.956043 -123.148772",134.4
"American Robin","8l",120
"American Robin","43.703367, -122.976632",115
"American Robin","Big Canyon Rd 45.56115 -117.55663",222
"American Robin","BLM 10 442x573",95
"American Robin","Tranquility Ln 45.37910 -122.45753",150
"American Robin","43.29666  -121.51784",68
"American Robin","Ironside 14_39_14 44.34215 -117.89653",92.8
"American Robin","South Fork Rd. 1.3",180
"American Robin","42.85176, -122.85780",65
"American Robin","Bruce at gated private road at hairpin curve",50
"American Robin","44.15225, -122.32800",95
"American Robin","ZF07",100
"American Robin","Brooks Road 45.854270 -122.895392",118
"American Robin","45.33933, -118.72262",93
"American Robin","44.40464  -120.81662",173
"American Robin","MIXD004",100
"American Robin","43.33116  -124.36880",48
"American Robin","Fir Grove 7858x4074",24
"American Robin","44.79466 -118.47771",45
"American Robin","42.86640  -124.06346",225
"American Robin","30s",25
"American Robin","BP32",57.6
"American Robin","Crowley 9836x1921",40
"American Robin","44.72970, -123.76392",150
"American Robin","45.40823, -123.86907",118
"American Robin","44.939063 -119.180393",115
"American Robin","Corvallis Hwy 7635x1772",600
"American Robin","45.14948 -123.24266 Monroe Landing County Park",52
"American Robin"," 44.95771, -122.16016",118
"American Robin","44.398021 -119.306831",48
"American Robin","30t",18
"American Robin","44.87514 -122.75275 Silver Falls Hwy SE",336
"American Robin","NF-8260 45.77826 -117.65244",293
"American Robin","Buena Vista 8247x1724",100
"American Robin","43.219950,-123.237670",25
"American Robin","43.37419  -124.09354",150
"American Robin","44.260694  -119.864554",130
"American Robin","44.26608,-119.23353",46
"American Robin","35th and Oak Creek ",35
"American Robin","West Salem Engel",110
"American Robin","44.73814, -120.59727",94
"American Robin","42.67577, -120.80206",1148
"American Robin","SE Walnut Hill Rd 45.122778 -123.125965",83.2
"American Robin","Old River Road 1.5",260
"American Robin","Golden Valley 44.54193 -122.52707",95
"American Robin","7 Mile Ln. 44.54606 -123.04885",225
"American Robin","44.80052, -120.64314",46
"American Robin","44.13077, -122.61609",17
"American Robin","44.97447 -123.04782 Cinnamon Teal",6
"American Robin","8r",28
"American Robin","45.46657, -119.35389",236
"American Robin","44.87069 -122.75478 Silver Falls Hwy SE",311
"American Robin","44.11562  -120.23339",318
"American Robin","44.30212  -120.12287",37
"American Robin","45.15578, -118.66859",224
"American Robin","43.25373, -121.05456",113
"American Robin","Inavele Fire substation - Ed Jorgensen",0
"American Robin","43.228502,-123.232065",105
"American Robin","Bellfountain EMB",140
"American Robin","9r",88
"American Robin","Bellfountain and Bull Run diesel engine noise ",12
"American Robin","45.15504, -118.63993",80
"American Robin","Barred Owl 45.89014 -123.55530",27.4
"American Robin","44.72401, -123.74562",50
"American Robin","Tum Tum Rd. 5.0 bridge",48
"American Robin","42.99590, -120.73135",149
"American Robin","Parker 7966x2161",95
"American Robin","45.44760 -122.90063 SW Farmington Rd",136.1
"American Robin","NehalemHwy 45.98444 -123.24589",172
"American Robin","Daisy Dr. 559x389",141
"American Robin","45.77252 -122.90094 Apple Valley Rd",146
"American Robin","Dart Creek Road 45.882042 -122.884658",52
"American Robin","18w",80
"American Robin","Some Road 406x493",90
"American Robin","44.63004,-118.59281",168
"American Robin","Llewellyn 1.0",160
"American Robin","44.98431 -118.91931",135
"American Robin","44.75592, -120.41552",139
"American Robin","44.66986, -120.96272",233
"American Robin","43.75355, -123.34413",66
"American Robin","45.53975, -119.43434",52
"American Robin","Shumway Rd 43.73594 -118.07597",215
"American Robin","45.52687 -122.36237 Purple Martin",220
"American Robin","42.11079 -122.38954",130
"American Robin","5q",95
"American Robin","Brown 9984x3610",155
"American Robin","21p",100
"American Robin","Harley Rd 45.48970 -117.45398",117
"American Robin","44.63102 -123.14555 Bowers Rock",27
"American Robin","42.10381 -122.59896",88
"American Robin","End of Starr Creek Rd. ",42
"American Robin","43.122204  -124.138708",92
"American Robin","Barred Owl 45.88218 -123.56199",23.1
"American Robin","12f",70
"American Robin","42.89492,-123.23782",69
"American Robin","45.52890 -122.36243 Purple Martin",233
"American Robin","44.79950 -122.73019 Rusty Blackbird",130
"American Robin","43.02688,-123.21436",28
"American Robin","44.64058,-118.65720",118
"American Robin","Grove Rd 44.14971 -116.98479",94
"American Robin","43.1303,-123.77608",159
"American Robin","Ervin Rd. 81m from x with Peterson",120
"American Robin","Harris Road 1.0",60
"American Robin","LLV 2.5",62
"American Robin","3430 Bellfountain Rd. ",260
"American Robin","42.33067  -121.03385",125
"American Robin","West Salem 8th and Arthur",120
"American Robin","BPA Carlton Substation 45.277263 -123.144267",96
"American Robin","near Tickle Creek 45.40653 -122.35794",105
"American Robin","43.02428, -122.81775",20
"American Robin","44.14577  -120.29411",197
"American Robin","House Finch 44.62389 -122.81212",340
"American Robin","18d",30
"American Robin","43.33621  -124.37090",43
"American Robin","42.57960  -124.03478",41
"American Robin","45.46027 -122.90747 SW Farmington Rd",87
"American Robin","45.41930, -119.29750",228
"American Robin","43.97301 -119.05062",73
"American Robin","CR21",43.8
"American Robin","45.58189 -122.79120 NW Germantown Rd",56
"American Robin","44.25580,-119.15563",45
"American Robin","Rock Creek Water Tank",12
"American Robin","NF 13-7-15 440x480",120
"American Robin","Brown Rd 45.69851 -117.57613",82
"American Robin","Hill Rd Lane 44.103002 -122.947302",98
"American Robin","44.72572, -120.56136",161
"American Robin","Mc Donald Forest Rd. 600 611x331 some stream noise",130
"American Robin","Old Fort 7844x2275",22
"American Robin","45.17055, -123.79925",42
"American Robin","45.93111 -123.16078",20
"American Robin","45.99734 -123.42699",17
"American Robin","BP25",93
"American Robin","Beaver Creek 431x425",22
"American Robin","Dry Creek Tributary 45.63069 -117.55869",106
"American Robin","Winderlea Vineyard and Winery 45.282070 -123.033660",10
"American Robin","Dunn Forest Rd 7524x34645",20
"American Robin","Coville 9618x2452",110
"American Robin","44.356772  -119.896626",100
"American Robin","45.08819 -122.61074 Sabine's Gull",49
"American Robin","44.659225 -118.819511",27
"American Robin","YOMV05",110.6
"American Robin","Smith 8040x3271",150
"American Robin","44.553091 -119.076176",85
"American Robin","w Ingram Island Rd. 1.0",180
"American Robin","Cooper Hollow 8621x3282",30
"American Robin","43.94744 -122.79431 Place Rd",57
"American Robin","FR15",160
"American Robin","Oak Knoll Rd 0387x0844",186
"American Robin","SEM03",227
"American Robin","42.17203  -121.20121",300
"American Robin","45.28764 -122.49622 S Steiner Rd",157
"American Robin","2210 NW Robinhood",7
"American Robin","Valsetz 8265x6302",70
"American Robin","45.63995, -121.79005",27
"American Robin","Hwy 34 527x408",220
"American Robin","Best 9564x1312",55
"American Robin","43.821089, -121.505910",51
"American Robin","45.09122 -122.86548 Miller Rd NE",234
"American Robin","45.54935, -123.78393",30
"American Robin","42.582506  -124.330665",68
"American Robin","Shady Oak 315x314",140
"American Robin","43.91195, -120.87608",307
"American Robin","Hwy 99W 7315x2230",30
"American Robin","45.42930, -118.24761",310
"American Robin","45.46572 -123.00265 SIC Reservoir",392
"American Robin","42.63141, -122.42245",204
"American Robin","42.54161, -120.61434",155
"American Robin","44.62963 -123.16289 Bower's Rock State Park",117.8
"American Robin","Yampo 0737x1686",50
"American Robin","CR24",126.1
"American Robin","Marks Ridge 44.43258 -122.70346",35
"American Robin","45.55053  -121.18353",260
"American Robin","Robb Mill 9324x3748",30
"American Robin","Philomath Sewage Ponds - NW ",125
"American Robin","Alpine Road ",20
"American Robin","42.73643  -121.82700",100
"American Robin","42.140895  -124.353421",27
"American Robin","BP38",120.6
"American Robin","10k",100
"American Robin","Clearlake Rd 44.102936 -123.264866",96.8
"American Robin","Neuman Rd. 5 min in from Decker",60
"American Robin","603 Pioneer St. ",45
"American Robin","43.594223  -124.097499",40
"American Robin","43.70103, -122.80962",300
"American Robin","Valsetz 8250x6182",40
"American Robin","E Ingram Island Place 3",30
"American Robin","Oak Grove 9704x1666",175
"American Robin","31tt",35
"American Robin","45.57962 -122.80010 NW Germantown Rd",95
"American Robin","Cook Creek Wallowa 45.83397 -116.93194",140
"American Robin","44.00178  -120.59266",190
"American Robin","4-H 0007x1498",70
"American Robin","Smith Loop 1.0",55
"American Robin","ZF01",227.6
"American Robin","44.35236, -121.20395",175
"American Robin","FR12",277.9
"American Robin","SE Walnut Hill Rd 45.122778 -123.125965",83.2
"American Robin","44.87517  -121.22659",140
"American Robin","BP01",28.3
"American Robin","42.18125  -121.72981",46
"American Robin","Ward Road 0.85",70
"American Robin","SE Walnut Hill Rd 45.122778 -123.125965",105.1
"American Robin","TS06",400
"American Robin","Shimanek Bridge Rd. 44.71365 -122.76553",325
"American Robin","44.504402 -119.035573",100
"American Robin","Marys Peak 486x533",70
"American Robin","43.575622  -124.195155",85
"American Robin","42.23685  -121.78452",87
"American Robin","44.12622 -122.62490",169
"American Robin","Shimanek Bridge Rd. 44.71365 -122.76553",81
"American Robin","43.272534,-123.200114",180
"American Robin","45.25078, -118.88142",97
"American Robin","43.11987  -123.86678",125
"American Robin","43.278109,-123.536404",250
"American Robin","45.53322 -122.36235 Purple Martin",183
"American Robin","Elk Creek Rd 43.646141 -123.213560",49.3
"American Robin","45.39811, -118.73270",55
"American Robin","43.18008,-123.03181",151
"American Robin","45.75003 -123.96330",85
"American Robin","Rock Creek Rd. 500x439",110
"American Robin","44.076053, -122.743026",34
"American Robin","Perrydale 9598x3020",45
"American Robin","43.29269  -121.51873",75
"American Robin","Harris Rd. 582x432",161
"American Robin","Mistletoe 8813x3078",70
"American Robin","Pierce Creek 44.29578 -122.91576",70
"American Robin","44.96129 -118.88780",170
"American Robin","Lincoln Rd 0225x0775",10
"American Robin","Mc Donald Forest Rd. 6021 621x346",150
"American Robin","Campus Way covered bridge ",30
"American Robin","DartCreekRoad 45.88688 -122.87924",38
"American Robin","Hulbert Lake Rd. 0.5",45
"American Robin","43.90169 -119.32824",125
"American Robin","42.19469, -123.21481",55
"American Robin","S Groshong Rd 45.045401 -122.583352",96
"American Robin","44.19949 -118.15927",225
"American Robin","45.04957 -122.84609 Pudding River ",265
"American Robin","2210 NW Robinhood",75
"American Robin","Hill Rd Lane 44.101585 -122.954855",160.8
"American Robin","LSNA 7404x1385",50
"American Robin","Monmouth Ash Creek",90
"American Robin","44.933669 -119.189134",75
"American Robin","Bowersville 9243x2579",18
"American Robin","Rock Creek Rd. 500x439",300
"American Robin","42.30775, -123.21918",15
"American Robin","28t",30
"American Robin","42.72146, -123.10683",15
"American Robin","45.15245 -122.72351 Yoder Rd",85
"American Robin","42.738508  -124.412312",65
"American Robin","Coon Rd. 307x350",35
"American Robin","45.56355  -121.17462",172
"American Robin","Hwy 34 527x408",250
"American Robin","22e",100
"American Robin","44.98982 -118.92770",85
"American Robin","Apple Valley Rd 45.76610 -122.90710",145
"American Robin","Boyd Ln. and Territorial Land machines",200
"American Robin","Dodge Island Rd. 0.5",90
"American Robin","Wynoochee 580x342",140
"American Robin","45.79248 -123.22173",17
"American Robin","BHF11",46.6
"American Robin","43.69500  -118.80454",210
"American Robin","43.792335, -122.974206",115
"American Robin","Ward Road 0.0",300
"American Robin","Joseph Lane",35
"American Robin","45.33533, -119.03613",202
"American Robin","Wooded Knolls 566x364",150
"American Robin","45.75003 -123.96330",95
"American Robin","43.78138, -123.90338",30
"American Robin","44.71815, -123.90246",15
"American Robin","42.58320   -124.03148",70
"American Robin","44.72736,-119.33445",149
"American Robin","Woods Creek Rd. 5.0",110
"American Robin","42.11215 -120.67522",30
"American Robin","45.33750, -123.96156",80
"American Robin","32v",30
"American Robin","45.14703 -123.23951 Monroe Landing County Park",242
"American Robin","44.39085 -118.52977",110
"American Robin","43.89820 -119.33033",75
"American Robin","Three Lakes Rd SE 44.60561 -123.05202",25
"American Robin","BS15",120.4
"American Robin","45.61349, -121.56137",121
"American Robin","45.24977 -122.73305 S Anderson Rd",236
"American Robin","Howard Creek 45.649140 -117.662094",142
"American Robin","South Fork Rd. 3.0",35
"American Robin","Washington Creek 43.98207 -117.70773",22
"American Robin","43.90541 -123.08668 Xantus's Murrelet",144
"American Robin","Pit Road 1.5",51
"American Robin","42.60563 -122.94537",87
"American Robin","West Salem 956 Lynda Lane",40
"American Robin","45.37006, -118.57191",37
"American Robin","43.082342,-122.687034",140
"American Robin","Van Horn 6.3",20
"American Robin","19t",30
"American Robin","Dry Creek Tributary 45.61975 -117.55859",265
"American Robin","44.669464 -119.135941",130
"American Robin","Irish Bend Park",15
"American Robin","Price Creek Road 0.5",68
"American Robin","Hwy 34 348x696",4
"American Robin","Hazelton Rd 43.840759 -123.129931",61.1
"American Robin","45.25078, -118.88142",35
"American Robin","44.263900  -119.906475",36
"American Robin","Lily Hill Rd. 612x468",34
"American Robin","44.26776  -120.26409",85
"American Robin","45.43338, -118.25503",250
"American Robin","19y",90
"American Robin","30x",250
"American Robin","45.58925 -123.01097 NW Glencoe Rd",93.8
"American Robin","44.30266  -120.18509",175
"American Robin","NE Logsden",40
"American Robin","Lone Star 0717x0982",197
"American Robin","42.43316, -122.62849",344
"American Robin","44.88033, -123.88747",40
"American Robin","43.258675,-123.215822",100
"American Robin","45.72213, -123.23648",231
"American Robin","44.29158  -121.00791",90
"American Robin","45.67408, -118.76536",93
"American Robin","42.15794 -122.48509",163
"American Robin","43.79257, -122.97679",250
"American Robin","Independence and Palestine",44
"American Robin","42.275745  -124.366764",50
"American Robin","44.26525,-119.21584",39
"American Robin","42.47904,-122.76006",383
"American Robin","Old River and Irish Bend Roads",326
"American Robin","26434 Coon Rd. ",56
"American Robin","30u",40
"American Robin","Enterprise 0112x3489",22
"American Robin","43.00621, -121.13251",110
"American Robin","Red-breasted Sapsucker 43.654257 -123.295896",62
"American Robin","Hwy 34 and Winney Rd. ",130
"American Robin","Frost 8404x4122",50
"American Robin","31u",0
"American Robin","Moritz 0669x4160",60
"American Robin","Scappoose Bay 45.831603 -122.838285",50.2
"American Robin","Dry Creek Tributary 45.62267 -117.55869",310
"American Robin","43.02895,-123.23090",223
"American Robin","28v",25
"American Robin","17n",85
"American Robin","Barred Owl 45.88218 -123.56199",90.5
"American Robin","Hazelton Rd 43.838572 -123.129944",82
"American Robin","West Perrydale 0387x3574",75
"American Robin","45.03275  -120.72890",113
"American Robin","43.838526,-124.047085",27
